title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.Apr,Mar.89,Jan.91,,Jan.66,0.33,8.10.2013,8.3.2018
Sports Champions,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,7.Jun,Mar.88,Feb.15,0.1,Jan.13,0.5,17.9.2010,
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,9.Mar,Mar.85,0.16,1.Dec,Jan.89,0.68,1.2.2005,
Namco Museum Vol.1,PS,Misc,Namco,Namco,,Mar.84,2.Dec,0.22,Jan.44,0.06,31.7.1996,
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,Traveller's Tales,7.May,Mar.76,2.Apr,,1.Jan,0.36,3.6.2008,
The Sims: Unleashed,PC,Simulation,Electronic Arts,Maxis,7.Mar,Mar.76,2.Mar,,Jan.56,0.17,23.9.2002,
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,High Impact Games,8.May,Mar.75,1.Apr,0.1,1.Apr,0.86,13.2.2007,
FIFA 17,XOne,Sports,Electronic Arts,EA Canada,8.Aug,Mar.71,1.Apr,,2.Apr,0.27,27.9.2016,28.3.2018
FIFA Soccer 2005,PS2,Sports,EA Sports,EA Canada,8.Apr,3.Jul,0.58,0.04,Feb.48,0.59,12.10.2004,
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,Neversoft Entertainment,9.Jun,Mar.67,Feb.13,0.01,Jan.18,0.35,23.10.2002,
MySims,DS,Simulation,Electronic Arts,EA Redwood Shores,6.Jul,Mar.66,Jan.58,0.08,1.Jun,0.4,18.9.2007,
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,Rockstar Leeds,7.Feb,Mar.66,Jan.65,,Jan.22,0.79,27.6.2005,
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,Zipper Interactive,8,Mar.65,Feb.53,0.06,0.81,0.24,27.8.2002,
Battlefield 4,PS3,Shooter,Electronic Arts,EA DICE,8.Jul,Mar.64,Jan.31,0.27,1.May,0.55,29.10.2013,4.1.2018
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,Naughty Dog,9,Mar.64,2.Aug,0.15,1.Sep,0.33,4.12.2001,
Pro Evolution Soccer 2008,PS2,Sports,Konami,Konami,8.Feb,Mar.63,0.05,0.64,0,Feb.93,11.3.2008,
FIFA Soccer 10,PS3,Sports,EA Sports,EA Canada,9,Mar.63,0.6,0.05,Feb.46,0.52,20.10.2009,
Guitar Hero: World Tour,Wii,Misc,Activision,Vicarious Visions,8.Apr,Mar.62,Feb.32,,0.96,0.34,26.10.2008,
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,Radical Entertainment,6.Jan,Mar.61,2.Feb,,Jan.17,0.42,24.11.2001,
Star Wars Battlefront,PS2,Shooter,LucasArts,Pandemic Studios,8.Jan,Mar.61,Jan.93,0.03,Jan.22,0.44,20.9.2004,
Doom II,PC,Shooter,GT Interactive,id Software,9.Mar,Mar.61,2.May,,1.Apr,0.16,30.9.1994,
Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,8.Jun,3.Jun,0.9,0.08,2.Jun,0.55,23.10.2015,4.5.2018
Star Wars Battlefront II,PS2,Shooter,LucasArts,Pandemic Studios,8.May,Mar.59,Feb.18,0.03,1.Feb,0.37,1.11.2005,
Assassin's Creed: Unity,XOne,Action,Ubisoft,Ubisoft Montreal,,Mar.58,Feb.34,0,0.9,0.34,11.11.2014,4.5.2018
WWF SmackDown!,PS,Fighting,THQ,Yuke's,,Mar.58,2.Jan,0.06,Jan.35,0.16,1.3.2000,
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,Office Create,6.Sep,Mar.58,1.Jun,0.1,Jan.49,0.39,13.11.2007,
The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,7.Jul,Mar.54,Jan.23,0.05,Jan.77,0.49,19.1.2003,
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,Core Design Ltd.,8.Feb,Mar.54,Jan.66,0.12,Jan.58,0.18,21.11.1998,
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,8.Mar,Mar.54,Jan.56,0.07,1.Apr,0.5,6.6.2006,
Battlefield 4,X360,Shooter,Electronic Arts,EA DICE,8.Jul,Mar.54,Feb.16,0.02,1.May,0.32,29.10.2013,4.1.2018
Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9.Jan,Mar.54,Feb.24,0.02,0.95,0.33,25.8.2009,
Resident Evil 5,X360,Action,Capcom,Capcom,8.Jun,Mar.53,Feb.13,0.12,0.93,0.34,13.3.2009,
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,9.Jan,Mar.53,Feb.87,0.03,0.39,0.25,16.11.2010,
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,7.Sep,Mar.53,Jan.98,0.01,Jan.14,0.41,2.4.2005,
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,EA Redwood Shores,,Mar.53,1.Sep,0.1,Jan.13,0.41,13.11.2001,
Rugrats in Paris: The Movie,PS,Action,THQ,Avalanche Software,,Mar.52,Jan.96,,Jan.33,0.23,29.10.2000,
FIFA Soccer 11,X360,Sports,EA Sports,EA Canada,8.Jul,Mar.52,0.71,0.02,Feb.39,0.4,28.9.2010,
NBA 2K17,PS4,Sports,2K Sports,Visual Concepts,9,Mar.52,Feb.28,0.03,0.59,0.63,16.9.2016,28.3.2018
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,,Mar.49,Jan.94,,0.94,0.61,14.4.2015,4.1.2018
FIFA Soccer 2004,PS2,Sports,EA Sports,EA Canada,8,Mar.49,0.59,0.04,Feb.36,0.51,4.11.2003,
Borderlands,X360,Shooter,2K Games,Gearbox Software,8.Mar,Mar.48,Feb.43,0.03,0.72,0.3,20.10.2009,
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,EA Digital Illusions CE,9,Mar.48,2.Nov,0.04,1.Jan,0.33,2.3.2010,
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,Sega,7.Jun,Mar.47,Jan.21,0.27,Jan.63,0.37,13.10.2009,
Guitar Hero: On Tour,DS,Misc,Activision,Vicarious Visions,7.Jan,Mar.46,2.Jan,0.01,1.Jan,0.35,22.6.2008,
Tekken 4,PS2,Fighting,Namco,Namco,7.Sep,Mar.44,Jan.55,0.33,Jan.27,0.29,23.9.2002,
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,Traveller's Tales,7.May,Mar.44,2.Jul,,1.Apr,0.34,23.9.2008,
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,343 Industries,8.Aug,Mar.44,2.Jun,0.03,1.Apr,0.31,11.11.2014,24.3.2018
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,Media Molecule,9.Jan,Mar.43,Jan.83,0.06,1.Jul,0.47,18.1.2011,
FIFA 14,PS4,Sports,EA Sports,EA Canada,,Mar.43,0.62,0.12,Feb.18,0.51,15.11.2013,15.9.2018
Grand Theft Auto 2,PS,Action,Rockstar Games,DMA Design,6.Sep,Mar.42,Jan.13,,2.Jul,0.22,25.10.1999,
Destiny,XOne,Shooter,Activision,Bungie,8.Mar,Mar.41,Feb.17,,0.92,0.32,9.9.2014,12.1.2018
Spider-Man 2,PS2,Action,Activision,Treyarch,7.Sep,Mar.41,Jan.75,0.02,1.Feb,0.43,28.6.2004,
FIFA Soccer 2003,PS2,Sports,EA Sports,EA Canada,,3.Apr,0.46,0.05,Feb.28,0.61,14.11.2002,
Crash Bash,PS,Misc,Sony Computer Entertainment,Eurocom Entertainment Software,6.Aug,Mar.39,Jan.56,0.19,Jan.47,0.17,6.11.2000,
Gears of War 4,XOne,Shooter,Microsoft Studios,The Coalition,,Mar.38,Feb.17,,0.9,0.32,11.10.2016,13.1.2018
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.Mar,Mar.36,Jan.24,0.08,1.May,0.54,28.10.2016,1.4.2018
Watch Dogs 2,PS4,Action,Ubisoft,Ubisoft,,Mar.36,0.98,0.12,Jan.74,0.52,15.11.2016,
WWF War Zone,PS,Fighting,Acclaim Entertainment,Iguana Entertainment,,Mar.36,Feb.47,,0.76,0.13,14.7.1998,
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,8.May,Mar.34,1.Sep,0.01,Jan.14,0.3,29.10.2013,22.3.2018
NBA 2K18,PS4,Sports,2K Sports,Visual Concepts,8.Jan,Mar.34,Feb.13,0.04,0.57,0.59,19.9.2017,2.4.2018
James Bond 007: Nightfire,PS2,Shooter,Electronic Arts,Eurocom Entertainment Software,,Mar.33,Jan.45,0.12,Jan.29,0.46,18.11.2002,
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,The Collective,,Mar.32,Jan.47,0.03,Jan.39,0.43,4.5.2005,
Max Payne,PS2,Shooter,Rockstar Games,Remedy Entertainment,8.Jan,Mar.31,Jan.99,0.05,1.May,0.22,6.12.2001,
Madden NFL 16,PS4,Sports,EA Sports,EA Tiburon,8.Feb,3.Mar,Feb.39,,0.31,0.61,25.8.2015,31.3.2018
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,Hypnos Entertainment, Inc.,8.Apr,Mar.28,1.May,0.05,Jan.28,0.46,5.11.2003,
Madden NFL 17,PS4,Sports,EA Sports,EA Tiburon,8.May,Mar.28,2.Mar,,0.37,0.6,23.8.2016,1.4.2018
Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment,Polyphony Digital,,Mar.27,0.51,0.31,Jan.59,0.86,1.10.2009,3.1.2018
Far Cry 3,PS3,Shooter,Ubisoft,Ubisoft Montreal,,Mar.27,0.88,0.1,Jan.79,0.5,4.12.2012,
True Crime: Streets of LA,PS2,Action,Activision,Luxoflux,,Mar.27,Jan.89,0.02,1.May,0.31,3.11.2003,
FIFA 16,XOne,Sports,EA Sports,EA Canada,8.May,Mar.25,0.92,,2.Jan,0.24,22.9.2015,1.4.2018
L.A. Noire,PS3,Adventure,Rockstar Games,Team Bondi,9.Jan,Mar.21,Jan.29,0.12,Jan.31,0.49,15.11.2011,
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,Black Ops Entertainment,6.Feb,Mar.21,Jan.72,,Jan.33,0.16,16.11.1999,
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,Yuke's,8.Jul,3.Feb,Jan.76,0.07,Jan.21,0.16,21.11.2000,
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,8.Mar,Mar.19,1.Jul,0.06,Jan.55,0.51,15.11.2013,14.3.2018
Enter the Matrix,PS2,Action,Atari,Shiny Entertainment,,Mar.18,Jan.78,0.09,1.Dec,0.19,14.5.2003,
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,Ubisoft Quebec,9.May,Mar.18,Jan.18,0.09,1.Apr,0.51,5.10.2018,17.11.2018
Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.Feb,Mar.17,Jan.54,0.1,1.Apr,0.49,19.10.2010,
FIFA Soccer 08,PS2,Sports,EA Sports,EA Canada,,Mar.14,0.68,,0,Feb.46,9.10.2007,
Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios,1st Playable Productions,7,Mar.14,Jan.87,,0.97,0.3,25.11.2008,
FIFA 18,XOne,Sports,EA Sports,EA Vancouver,8,Mar.14,0.98,,Jan.92,0.23,29.9.2017,2.4.2018
Spider-Man,PS,Action,Activision,Neversoft Entertainment,,Mar.13,1.Jul,0.02,Jan.25,0.16,30.8.2000,
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Bethesda Softworks,4J Studios,9.Mar,3.Dec,Jan.69,0.14,0.86,0.44,20.3.2007,
Resident Evil 6,PS3,Action,Capcom,Capcom,,3.Dec,0.88,0.88,0.97,0.39,2.10.2012,
Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts,EA Canada,,3.Dec,Feb.14,,0.86,0.13,25.3.1998,
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,Ubisoft Paris,7,3.Dec,1.Jul,0.22,Jan.35,0.47,7.3.2017,1.4.2018
Titanfall,XOne,Shooter,Electronic Arts,Respawn Entertainment,,3.Nov,Jan.88,0.04,0.91,0.28,11.3.2014,12.1.2018
NBA 2K13,X360,Sports,2K Sports,Visual Concepts,8.Jun,3.Nov,Feb.62,0.01,0.21,0.28,2.10.2012,4.1.2018
Mass Effect 2,X360,Role-Playing,Electronic Arts,BioWare Edmonton,9.May,3.Jan,Jan.99,0.03,0.81,0.27,26.1.2010,
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive,Traveller's Tales,7.Mar,3.Aug,1.Aug,,0.98,0.29,23.9.2008,
Madden NFL 2002,PS2,Sports,EA Sports,EA Sports,,3.Aug,2.May,0.01,0.16,0.42,19.8.2001,
Saints Row 2,X360,Action,THQ,Volition Inc.,7.Sep,3.Jul,Jan.98,0.02,0.79,0.28,14.10.2008,2.4.2018
Call of Duty: Ghosts,XOne,Shooter,Activision,Infinity Ward,7.May,3.Jul,Jan.92,,0.86,0.28,22.11.2013,21.3.2018
The Sims: Vacation,PC,Simulation,Electronic Arts,Maxis,,3.Jul,Jan.72,,Jan.21,0.14,25.3.2002,
Borderlands 2,X360,Shooter,2K Games,Gearbox Software,,3.Jun,Jan.89,0.04,0.88,0.26,15.1.2013,
LEGO Batman: The Videogame,DS,Adventure,Warner Bros. Interactive,Traveller's Tales,7.Aug,3.Jun,Jan.75,,1.Feb,0.29,23.9.2008,
Kung Fu Panda,X360,Platform,Activision,Luxoflux,7.May,3.May,Jan.91,,0.84,0.29,3.6.2008,
Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment,Kojima Productions,,3.Apr,0.97,0.5,Jan.15,0.42,1.9.2015,4.5.2018
Mass Effect 3,X360,Role-Playing,Electronic Arts,BioWare,9.May,3.Apr,Jan.94,0.03,0.84,0.24,6.3.2012,
Rayman,PS,Platform,Ubisoft,Ubisoft Montpellier,7,3.Mar,Jan.54,,Jan.33,0.16,1.9.1995,
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,Ubisoft,9.Mar,3.Feb,Jan.85,,1.Apr,0.13,17.11.2002,
WWE SmackDown! vs. Raw 2006,PS2,Fighting,THQ,Yuke's,8.Apr,3,Jan.57,,1.Feb,0.41,15.11.2005,4.1.2018
The Sims: Livin Large,PC,Misc,Electronic Arts,Maxis,,Feb.99,Jan.67,,Jan.18,0.13,27.8.2000,
World Soccer Winning Eleven 6 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,,Feb.99,0.12,Jan.16,Jan.26,0.45,11.3.2003,
Far Cry 3,X360,Shooter,Ubisoft,Ubisoft Montreal,,Feb.98,Jan.38,0.02,Jan.33,0.25,4.12.2012,7.2.2018
Hitman 2: Silent Assassin,PS2,Action,Eidos Interactive,IO Interactive,,Feb.96,Jan.36,0.04,Jan.15,0.41,1.10.2002,
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,EA Digital Illusions CE,8.Sep,Feb.96,Jan.33,0.08,1.Nov,0.44,2.3.2010,
Street Fighter IV,X360,Fighting,Capcom,Capcom / Dimps Corporation,9.Mar,Feb.95,Jan.83,0.15,0.7,0.26,17.2.2009,
WWE SmackDown! vs. RAW 2006,PS2,Fighting,THQ,Yuke's,,Feb.94,Jan.45,0.04,1.Nov,0.33,14.11.2005,
Pac-Man Collection,GBA,Puzzle,Namco,Mass Media,,Feb.94,2.Jul,0.05,0.77,0.05,12.7.2001,
Madden NFL 13,X360,Sports,EA Sports,EA Tiburon,8,Feb.93,Feb.53,,0.16,0.24,28.8.2012,4.1.2018
Doom (2016),PS4,Shooter,Bethesda Softworks,id Software,,Feb.92,0.93,0.04,Jan.48,0.46,13.5.2016,
FIFA 15,X360,Sports,EA Sports,EA Canada,6.Sep,Feb.91,0.8,,1.Sep,0.21,23.9.2014,23.3.2018
Mass Effect,X360,Role-Playing,Microsoft Game Studios,BioWare Edmonton,9.Feb,Feb.91,Jan.83,0.03,0.79,0.27,20.11.2007,
Mortal Kombat (2011),PS3,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.May,2.Sep,Jan.98,,0.54,0.38,19.4.2011,6.1.2018
Call of Duty: Finest Hour,PS2,Shooter,Activision,Spark Unlimited,,Feb.89,Jan.51,0.01,1.Dec,0.24,16.11.2004,
Cooking Mama: Cook Off,Wii,Simulation,Majesco,Office Create,5.Sep,Feb.89,Jan.41,0.05,1.Dec,0.3,20.3.2007,
Sega Superstars Tennis,X360,Sports,Sega,Sumo Digital,6.Sep,Feb.89,Jan.75,,0.86,0.28,18.3.2008,
Hot Shots Golf 3,PS2,Sports,Sony Computer Entertainment,Clap Hanz,,Feb.89,0.99,Jan.38,0.32,0.2,11.3.2002,
Imagine: Babyz,DS,Simulation,Ubisoft,Visual Impact,3.May,Feb.87,1.Mar,,Jan.26,0.31,23.10.2007,
Colin McRae Rally,PS,Racing,Sony Computer Entertainment,Codemasters,7.Sep,Feb.87,0.09,0.12,Feb.43,0.22,31.1.2000,
Mafia III,PS4,Action-Adventure,2K Games,Hangar 13,6.Sep,Feb.87,0.72,0.04,Jan.67,0.44,7.10.2016,2.4.2018
The Elder Scrolls III: Morrowind,XB,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.Feb,Feb.86,2.Sep,0.03,0.63,0.11,6.6.2002,
Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,Ubisoft Montreal,9.Jan,Feb.85,Jan.87,0.11,0.57,0.3,16.11.2010,
Madden NFL 10,X360,Sports,EA Sports,EA Tiburon,8.Jun,Feb.83,Feb.52,,0.09,0.22,14.8.2009,
BioShock,X360,Shooter,2K Games,2K Australia / 2K Boston,9.Jun,Feb.83,Jan.65,0.05,0.85,0.28,21.8.2007,
WWE SmackDown! vs. Raw,PS2,Fighting,THQ,Yuke's,,Feb.83,Jan.32,0.04,1.Aug,0.39,2.11.2004,
Zumba Fitness 2,Wii,Sports,Majesco,Pipeworks Software, Inc.,,Feb.83,Jan.52,,1.May,0.26,15.11.2011,
Diablo III: Ultimate Evil Edition,PS4,Role-Playing,Blizzard Entertainment,Blizzard Entertainment,,Feb.82,0.83,0.08,Jan.48,0.44,19.8.2014,25.3.2019
Finding Nemo,GBA,Platform,THQ,Vicarious Visions,7,Feb.82,Jan.59,0.04,1.May,0.14,10.5.2003,
Gran Turismo (PSP),PSN,Racing,Sony Computer Entertainment,Polyphony Digital,7.Aug,Feb.82,0.43,0.31,0.91,Jan.16,1.10.2009,
Medal of Honor,PS3,Shooter,Electronic Arts,EA Los Angeles,6.Jul,Feb.82,Jan.28,0.07,1.Apr,0.43,12.10.2010,
Imagine: Fashion Designer,DS,Simulation,Ubisoft,Virtual Toys / Lexis Numerique,3,Feb.81,Jan.32,,Jan.19,0.3,23.10.2007,17.9.2018
Need for Speed: Hot Pursuit,PS3,Racing,Electronic Arts,Criterion Games,8.Sep,Feb.81,1.May,0.03,Jan.24,0.49,16.11.2010,
Killzone 3,PS3,Shooter,Sony Computer Entertainment,Guerrilla Games,8.Feb,Feb.81,Jan.46,0.09,0.87,0.38,22.2.2011,
NBA Street,PS2,Sports,EA Sports BIG,NuFX,,Feb.79,Feb.19,,0.22,0.38,18.6.2001,
Skylanders: Spyro's Adventure,Wii,Action,Activision,Toys for Bob,8,Feb.79,Jan.35,,Jan.15,0.3,16.10.2011,
WWF SmackDown! Just Bring It,PS2,Fighting,THQ,Yuke's,,Feb.79,Jan.19,0.04,Jan.15,0.41,18.11.2001,
Mortal Kombat Trilogy,PS,Fighting,Midway Games,Avalanche Software,,Feb.79,Jan.98,,0.7,0.11,1.9.1996,
Hot Shots Golf,PS,Sports,Sony Computer Entertainment,Camelot Software Planning,,Feb.79,0.29,Feb.13,0.2,0.18,5.5.1998,
A Bug's Life,PS,Platform,Sony Computer Entertainment,Traveller's Tales,3.Jun,Feb.79,Jan.96,,0.72,0.11,31.10.1998,
Star Wars: The Force Unleashed,X360,Action,LucasArts,LucasArts,7.Jan,Feb.77,Jan.74,,0.78,0.26,16.9.2008,
Saints Row: The Third,X360,Action,THQ,Volition Inc.,8.Mar,Feb.77,Jan.26,0.07,Jan.14,0.3,15.11.2011,
The Sims,PS2,Simulation,Electronic Arts,Edge of Reality,,Feb.77,Jan.41,,1.Dec,0.24,12.1.2003,
Battlefield 3,PC,Shooter,Electronic Arts,Dice,8.Sep,Feb.76,0.89,,Jan.44,0.43,25.10.2011,
Need for Speed: Most Wanted (2012),PS3,Racing,Electronic Arts,Criterion Games,8.May,Feb.74,0.71,0.06,Jan.52,0.45,30.10.2012,19.12.2018
Far Cry: Primal,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,7.Feb,Feb.73,0.63,0.07,Jan.61,0.41,23.2.2016,3.4.2018
L.A. Noire,X360,Adventure,Rockstar Games,Team Bondi,9.Jan,Feb.73,Jan.55,0.02,0.92,0.24,15.11.2011,
Overwatch,XOne,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.Jul,Feb.72,Jan.63,,0.84,0.25,24.5.2016,24.3.2018
Need for Speed (2015),PS4,Racing,Electronic Arts,Ghost Games,7,Feb.72,0.59,0.06,Jan.66,0.41,3.11.2015,3.4.2018
Tom Clancy's Rainbow Six: Siege,XOne,Shooter,Ubisoft,Ubisoft Montreal,,Feb.71,Jan.62,,0.84,0.25,1.12.2015,9.1.2018
Skate 3,X360,Sports,EA Sports,EA Black Box,8.Mar,Feb.71,Jan.47,,0.99,0.25,11.5.2010,
Madden NFL 13,PS3,Sports,EA Sports,EA Tiburon,8.Mar,Feb.71,2.Dec,,0.24,0.36,28.8.2012,4.1.2018
Madden NFL 12,X360,Sports,EA Sports,EA Tiburon,7.Aug,2.Jul,Feb.43,,0.11,0.16,30.8.2011,
Call of Duty 3,X360,Shooter,Activision,Treyarch,8,2.Jul,Jan.49,0.02,0.92,0.27,7.11.2006,
LEGO Star Wars II: The Original Trilogy,PS2,Action,LucasArts,Traveller's Tales,8.Apr,Feb.69,Jan.85,0.01,0.64,0.19,12.9.2006,
Madden NFL 11,X360,Sports,EA Sports,EA Tiburon,8.Mar,Feb.69,Feb.38,,0.12,0.19,10.8.2010,
Burnout 3: Takedown,PS2,Racing,Electronic Arts,Criterion Games,9.Mar,Feb.68,Jan.23,,1.Nov,0.34,7.9.2004,
Mortal Kombat,GEN,Fighting,Arena Entertainment,Probe Entertainment Limited,,Feb.67,Jan.95,,0.63,0.09,13.9.1993,
Medal of Honor,PS,Shooter,Electronic Arts,DreamWorks Interactive,9.Mar,Feb.67,Jan.44,,1.Sep,0.14,11.11.1999,
Call of Duty 2: Big Red One,PS2,Shooter,Activision,Treyarch,8.May,Feb.67,Jan.48,0.01,0.92,0.26,1.11.2005,
Final Fantasy XIII-2,PS3,Role-Playing,Square Enix,Square Enix,8.Mar,Feb.66,0.78,0.89,0.75,0.23,31.1.2012,
Medal of Honor Heroes,PSP,Shooter,Electronic Arts,Team Fusion,6.Jul,Feb.66,0.86,0.01,1.Nov,0.67,20.10.2006,
Guitar Hero: World Tour,X360,Misc,Activision,Neversoft Entertainment,8.Jun,Feb.66,Jan.78,,0.64,0.25,26.10.2008,
WWE SmackDown! Shut Your Mouth,PS2,Fighting,THQ,Yuke's,,Feb.66,Jan.32,0.04,Jan.29,,31.10.2002,
Tom Clancy's Splinter Cell,PS2,Action,Ubisoft,Ubisoft,,Feb.65,Jan.15,,1.Nov,0.4,8.4.2003,
Need for Speed: Shift,PS3,Racing,Electronic Arts,Slightly Mad Studios,8.Feb,Feb.65,0.69,0.04,1.Apr,0.52,15.9.2009,
